노선ID,노선명
11110604,동작08(행복유치원~대방역)
11110605,동작11(사자암~노량진역)
11110606,동작20(자이아파트~낙성대역)
11110607,동작03(신대방삼거리역~노들역)
11110608,동작12(상도4동성문교회~대방역)
11110609,동작13(봉천고개관악현대아파트~대방역)
11110610,동작05(대방역~신대방역)
11110611,동작06(이수역~사랑의병원)
11110612,동작14(달마사~사랑의병원)
11110613,마포15(서부운전면허시험장~홍대입구역)
11110614,마포07(양화진성지~아현역)
11110615,마포08(서부운전면허시험장~신촌전철역)
11110616,마포16(망원동~홍대정문)
11110617,마포09(망원유수지~신촌전철역)
11110618,마포10(신촌전철역~공덕역)
11110619,마포11(신촌전철역~마포역)
11110620,마포12(신촌전철역~마포역)
11110621,마포01(산천동리버힐삼성아파트~용문시장)
11110622,마포17(공덕시장~효창공원앞역)
11110623,마포02(청암대~공덕역)
11110624,마포03(아현역~만리동고개)
11110626,마포13(창전중앙하이츠아파트~신촌전철역)
11110627,마포14(창전삼성아파트~신촌전철역)
11110628,마포06(홍대입구역~남가좌동아이파크아파트)
11110629,서대문01(삼성빌라~홍제삼거리)
11110630,서대문10(백련사~홍제역)
11110631,서대문11(홍은동국민주택~독립문)
11110632,서대문12(동원베네스트아파트~홍제역)
11110633,서대문13(홍은동국민주택~홍제원현대아파트)
11110637,서대문14(정원여중~홍제역)
11110641,서대문03(홍은2동주민센터~신촌역)
11110642,서대문04(궁동근린공원~신촌역)
11110643,서대문05(북아현삼거리~연세대학교)
11110644,서대문06(북아현두산아파트~청파동삼일교회)
11110645,서대문07(개미마을~홍제역)
11110646,서대문08(상명대학교~홍제역)
11110649,서초01(잠원역~반포고등학교)
11110651,서초10(서초구민체육센터~강남역)
11110652,서초11(예술의전당~반포1동성당)
11110655,서초13(이수역~동덕여고)
11110656,서초14(이수역~고속터미널)
11110657,서초15(롯데캐슬헤론아파트~사당역)
11110658,서초16(정금마을~방배역)
11110659,서초17(사당역~서초구청)
11110660,서초02(교대역~서울고등학교)
11110662,서초20(내곡지구1단지~양재역)
11110663,서초21(한국소비자원~서초구민체육센터)
11110664,서초03(교대역~신사사거리)
11110666,서초05(정금마을~방배브라운가아파트)
11110667,서초06(정금마을~동덕여고)
11110668,서초07(제일병원~임광아파트)
11110669,서초08(서울추모공원~양재역)
11110670,서초09(헌인가구단지~강남역)
11110671,성동01(옥수역~신당역)
11110672,성동02(마장동현대아파트~논골입구)
11110673,성동05(응봉근린공원~약수역)
11110674,성동06(두산아파트정문.금호역~두산아파트115동)
11110675,성동09(극동아파트5동~옥수역)
11110676,성동03(신금호역~성동구도시관리공단)
11110677,성동08(금호역~성동구도시관리공단)
11110678,성동10(송정동서울숲아이파크아파트~성수역)
11110679,성북01(구민회관~삼선2동사무소)
11110680,성북05(정릉2동주민센터~정수빌라)
11110681,성북08(신안아파트~길음역)
11110682,성북09(신안아파트~미아사거리역)
11110685,성북15(고려아파트~한미약국)
11110686,성북12(월곡중학교~석계역)
11110687,성북13(동방주택~석계역)
11110691,성북03(삼선푸르지오아파트~노인정)
11110692,성북02(한성대학교~우리옛돌박물관)
11110693,성북04(성신여대입구역~신설동역)
11110694,성북07(정릉4동종점~길음역)
11110695,성북06(산림초소~길음역)
11110696,양천01(등촌역~당산역)
11110697,양천02(등촌역~오목교역)
11110698,양천03(신정이펜하우스1단지~목동역)
11110702,동작05-1(대방역~신대방역)
11110703,영등포02(한국수자원연구소~관악고등학교)
11110704,영등포04(대림역~영등포역)
11110706,영등포01(신도림역~구로디지털단지역)
11110709,용산01(순천향병원~크라운호텔)
11110710,용산02(한신아파트~용산경찰서)
11110711,용산03(하얏트호텔~용산전자상가)
11110712,은평01(연신내역~석광사)
11110713,은평02(두산.한신아파트~불광역)
11110714,은평03(갈현동12번지~연신내역)
11110715,은평04(경향파크아파트~불광역)
11110716,은평05(백련산힐스테이트3차~녹번역)
11110717,종로03(낙산공원~종로5가)
11110719,종로11(삼청공원~서울역)
11110720,종로13(평창파출소~부암동주민센터.무계원)
11110721,종로01(원서동~종각)
11110722,종로02(성균관대학교후문~종각)
11110723,종로12(서울대학교병원~종로3가)
11110724,종로05(서대문역~배화여중고)
11110726,종로08(명륜3가~종로5가)
11110727,종로09(수성동계곡~숭례문)
11110728,중랑01(중화동동아약국~신이문역)
11110729,중랑02(진로아파트~한신아파트)
11110735,금천01(청.독산역~벽산아파트)
11110736,동대문03(서울가든아파트~회기역)
11110738,서대문09(가산빌라.가산빌라~홍제역)
11110739,서대문09(풍진베이스타운.안산자락길입구~홍제역)
11110740,강남06-1(세곡리엔파크~수서역)
11110741,금천09(독산한신아파트~광명시보건소)
11110743,노원13(석계역~서울과학기술대학교)
11110744,동작21(달마사~상도역)
11110746,서초22(남부터미널~국립국악원)
11110747,강남08(신사역~삼성역)
11110749,영등포09(신도림역~영등포역후문)
11110750,양천04(신도림동아3차아파트~양천구청역)
11110752,금천11(산기슭공원~석수역)
11110753,영등포10(대방역~순복음교회)
11110754,영등포11(대방역~여의도중학교)
11110755,은평09(대림e편한세상아파트1단지~청구성심병원)
11110756,마포18(디지털미디어시티역~DMC빌)
11110757,관악11(봉천역~재넘이고개)
11110758,영등포12(신도림역~당산역)
11110759,영등포13(대방천사거리~신도림역)
11110760,성북10-1(장위중학교~미아사거리역)
11110761,성북10-2(우남아파트~미아사거리역)
11110762,성북14-1(북서울꿈의숲~석계역)
11110763,성북14-2(장곡시장~석계역)
11110764,금천01-1(가산디지털단지역~벽산아파트)
11110798,성동12(서울중구청소년수련관~옥수역)
11110800,광진01(광진정보도서관~워커힐아파트)
11110801,구로15(오류동역~서울남부교정시설)
11110802,서초18(선바위역~매헌초등학교)
11110803,영등포05(당산역~구로세무서)
11110804,영등포08(영등포푸르지오~신도림역)
11110805,구로06(개봉역~센츄리아파트)
11110806,서초18-1(서초LH5단지~양재역)
11110807,구로11(대림역~개봉역)
11110808,영등포03(당산현대아파트~영등포역)
11110812,6648(방화동~양천구청)
11110813,1116번(국민대학교~미아삼거리역)
11110814,1167번(우이동~롯데마트)
11110815,343번(장지공영차고지~세곡동)
11110845,705번(진관공영차고지~롯데영프라자)
11110855,6645(가양9단지~강서공영차고지)
11110856,6642(가양9단지~강서공영차고지)
11110860,6647(개화역환승센터~마곡나루역)
11110861,6649번(신도림역~성락교회)
11110872,7737번(수색은평공영차고지~파크빌아파트)
11110873,7024번(봉원사~서울역)
11110874,7738번(은평공영차고지~홍제역)
11110875,7739번(은평공영차고지~홍대입구역)
11110879,1162번(성북구민회관~보문역)
11110881,1164번(서경대~길음역)
11110889,2113(중랑공영차고지~석계역)
11110890,2234(중랑공영차고지~봉화산역)
11110891,2114(중랑공영차고지~석계역)
11110892,2235(능말~신이문역)
11110897,0017번(청암동~이촌동)
11110899,1131번(중계본동~석계역)
11110900,1141번(중계본동~석계역)
11110901,1142번(중계본동~창동역)
11110902,7715번(은평차고지~연신내역)
11110903,6625번(문래동~화곡동)
11110904,1143번(수락리버시티~봉화산역)
11110905,6624번(신월동~이대목동병원)
11110907,2224번(성수동~강변역)
11110908,6613(양천공영차고지~대림역)
11110910,6614(양천공영차고지~부천옥길지구)
11110912,506번(신림동~종로1가)
11110913,금천08(난곡중학교~금천구청역)
11110915,1114번(정릉~길음역)
11110917,1127번(도봉동~도봉동)
11110920,4432번(개포동~옛골)
11110922,종로06(평창파출소~평창공원지킴터)
11110924,강북08(두산위브아파트~현대백화점)
11110930,마포05(홍대입구역~연남동주민센터)
11110932,4433번(대치역~양재역)
11110942,148번(번동~방배동)
11110944,1226번(상월곡역~경동시장)
11110945,273번(중랑차고지~동교동)
11110948,1165번(화계사~미아삼거리역)
11110953,202번(불암동~후암동)
11110956,3214번(마천동~강변역)
11110957,3316번(마천동~천호역)
11110959,3220번(오금동~청량리)
11110960,2415번(자양동~대치동)
11110961,2221번(자양동~신설동)
11110962,3216번(오금동~청량리)
11110964,1166번(우이동~국민대)
11110965,3425번(송파차고지~삼성역)
11110966,320번(송파차고지~상봉터미널)
11110967,6716번(양천공영차고지~이대입구)
11110968,103번(삼화상운~서울역)
11110970,120번(우이동~청량리)
11110975,금천05(독산한신아파트~가산디지털단지역)
11110976,금천06(시흥1동공영주차장~구로디지털단지역)
11110977,금천07(시흥1동공영주차장~구로디지털단지역)
11110978,강북04(연일슈퍼~수유시장)
11110979,240번(중랑공영차고지~신사역사거리)
11110980,652번(신월동~독산사거리)
11110982,1227번(하계동~제기동)
11110983,3317(마천동~잠실역)
11110984,성북20(고려대역~돈암시장)
11110988,6657번(강서한강자이아파트~양천공영차고지)
11110989,구로14(천왕이펜하우스5단지입구~온수역)
11110990,"5522번(A,난곡방향,난곡~난곡)"
11110991,"5522번(B,호암방향,난곡~난곡)"
11110993,5537번(시흥동~가산디지털단지역)
11110997,5523번(보성운수기종점~서울대입구역)
11110998,153번(우이동~당곡사거리)
11110999,241번(중랑차고지~논현역)
11111000,강서05(발산역~강서농수산물도매시장)
11111001,성북21(고려대역~길음역)
11111002,4318번(사당동출발.사당동~풍납동)
11111003,4318번(풍납동출발.풍납동~사당동)
11111156,서대문02(서대문역.천연뜨란채아파트~서대문역)
11111158,서대문02(독립문역.천연뜨란채아파트~독립문극동아파트)
11111159,707(대화동~서울역)
11111160,동작19(사자암~동작우체국)
11111161,은평07(삼성래미안아파트~양광교회)
11111163,강남10(개포4단지7단지~양재역)
11111166,은평10(숭실고등학교~산새마을)
11111167,금천11-1(산기슭공원~석수역)
11111168,노원14(청백1단지아파트~세그루학원)
11111169,노원15(청백1단지아파트~덕성여자대학교)
11111170,강서05-1(송정중학교~마곡나루역)
11111171,성동13(옥수역~성수역)
11410001,270번(상암동차고지~망우리)
11410002,370번(강동공영차고지~충정로역)
11410003,470번(상암차고지~안골마을)
11410004,6515번(양천차고지~삼막사거리)
11410011,2412번(성수동~세곡동사거리)
28001001,9100
28001002,9200
28001003,9300
28001007,9201
28002001,01월 14일
28002002,62
28002003,14
28002004,23
28002005,79
28003001,4
28003002,63
28004001,13
28004002,46
28004005,330
28005001,12
28005004,76
28007005,42
28008001,35
28008002,65
28008003,Jan-65
28008004,68
28009001,8
28009003,01월 16일
28010004,1
28010007,70
28010009,Feb-60
28010010,66
28011001,2
28011002,10
28011003,45
28012001,33
28012002,36
28013002,Jan-67
28013003,11
28013005,01월 24일
28020001,790
28020002,영흥도
28022002,05월 01일
28022003,20
28022004,21
28022006,27
28022007,38
28022008,754
28022011,5
28023001,22
28023002,6
28027001,28
28027002,15
28027003,721
28027004,01월 28일
28030012,223
28030014,103
28030020,103-1
28032032,1(순환)
28032033,6(순환)
28032034,3(순환)
28032035,4(순환)
28032036,10(강화)
28032037,11(강화)
28032038,12(선원)
28032039,13(선원)
28032040,14(선원)
28032041,15(선원)
28032043,17(선원)
28032044,20(송해)
28032045,21(송해)
28032047,23(송해)
28032048,24(양사)
28032049,25(양사)
28032050,26(양사)
28032051,27(양사)
28032052,30(내가)
28032053,31(내가)
28032054,32(하점)
28032055,33(하점)
28032056,34(하점)
28032058,49(화도)
28032059,37(내가)
28032060,40(화도)
28032061,41(화도)
28032062,42(화도)
28032063,43(화도)
28032064,44(화도)
28032065,45(양도)
28032068,48(양도)
28032069,50(길상)
28032070,51(길상)
28032071,52(길상)
28032072,53(길상)
28032073,54(불은)
28032074,55(불은)
28032076,61A(내가)
28032082,38A(삼산)
28032084,57(길상)
28034001,87
28034002,80
28034003,300
28037004,91(순환)
28037008,92(순환)
28038003,904
28038004,905
28038006,907
28038007,908
28038008,909
28039001,111
28039002,111-2
28040002,302
28040003,303
28041001,112
28041002,306
28041003,308
28042003,16
28043001,30
28043002,78
28045001,06월 01일
28047001,01월 01일
28048001,01월 02일
28049001,중구1(무의도)
28050900,M6410
28204001,517
28204002,519
28206001,522
28206002,591
28206003,592
28206004,585
28206005,591-1
28206006,524
28206008,522A
28206009,565
28208001,523
28208002,523-1
28210001,516
28210002,518
28210003,520
28214002,531
28214003,540
28214004,510
28214005,532A
28214006,532B
28216001,537
28216002,538
28216003,539
28216004,535
28216005,535-1
28216006,536
28217001,551
28217002,586
28217003,588
28219001,521
28222001,511
28222002,512
28223001,567
28223002,566
28224001,574
28224002,561
28228001,556
28228002,571
28228003,558
28228005,583
28228006,590
28228007,760
28228009,581
28228010,770-1
28228011,760-1
28228014,597
28229002,515
28229005,515-1
28231003,562
28231005,569
28231006,570
28231007,582
28231008,584
28231009,587
28231010,506
28247001,533
28247002,534
28248001,대곡5
28301002,223A
28302001,800
28302003,700-1
28302004,22(송해)
28302005,01월 17일
28302006,May-60
28302007,70(교동)
28302010,2(순환)
28302011,5(순환)
28302012,7A(순환)
28302013,7B(순환)
28302014,8A(순환)
28302015,8B(순환)
28302016,16-1(선원)
28302017,16-2(선원)
28302018,36(내가)
28302019,58(길상)
28302020,59(길상)
28302021,10A(강화)
28302022,12A(선원)
28302023,30A(내가)
28302024,53A(길상)
28302025,61B(내가)
28302026,11A(강화)
28302032,31B(삼산)
28302033,38B(삼산)
28302034,9(순환)
28302037,35A
28302038,35B
28302039,44A
28304004,02월 01일
28305001,117
28305002,117A
28308001,14-1A
28309001,72
28309003,1800
28310002,03월 02일
28310003,9
28311001,8A
28313001,1200
28314001,1601
28314002,1100
28314003,1101
28314004,9501
28314005,9802
28315003,202
28315005,222
28315010,222(A)
28315012,222(B)
28315015,Feb-42
28315016,중구1
28315017,중구2
28315018,중구2-1
28315019,중구3
28315028,중구6
28315029,중구4
28315033,81
28315034,82
28315037,203
28315038,204
28315039,203A
28315042,598
28315043,598-1
28317900,M6405
28319002,303-1
28319003,302A
28319004,304
28319005,302B
28320001,307
28320002,308A
28320003,306A
28321001,43
28321002,Jan-43
28321004,44
28321005,310
28321900,M6724
28322002,320
28323005,7
28324001,34
28324002,37
28325001,24
28326001,780
28326002,780-1
28326003,1301
28326004,780-2
28326005,1302
28326006,1300
28326007,2500
28333001,904-1
28335001,7700
28335002,701
28335003,702
28336900,M6628
28337001,북부
28338001,서부
28341001,계양1번
28341002,계양2번
28343001,1000
28343002,1400
28343003,9500
28343005,1500
28344001,903
28345900,M6635
28345901,M6336
28510001,552
28510004,555
28510006,526
28510008,572
28511002,579
28511003,593
28511006,514-1
28511008,564
28511009,564-1
28511010,595
28511011,530
28511012,560
28511013,564-2
28511014,순환31
28511015,557
28511016,557A
28516001,1(강화삼산)
28516002,2(강화삼산)
28801001,6770
41110001,107번(송현동~동대문)
41110002,201번(구리~서울역)
41110003,302번(성남~동대문)
